"Indicador","Sector","ISO Alfa3","ISO N","Código","País","Año","Valor","Unidad"
"Consumo de electricidad","Transporte","","","Subregión","América Central","2000","","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","2001","","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","2002","","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","2003","","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","2004","","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","2005","","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","2006","","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","2007","","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","2008","","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","2009","","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","2010","","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","2011","","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","2012","","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","2013","","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","2014","18.800006064414","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","2015","42.000013548158","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","2016","36.600011806252","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","2017","41.100013257841","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","2018","40.599987943193","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","2019","53.699984052942","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","2020","70.099979182705","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América Central","2021","80.049976227896","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1970","1425","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1971","1644","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1972","1684","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1973","1871","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1974","2041","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1975","2064","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1976","2186","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1977","2495","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1978","2720","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1979","3112","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1980","3190","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1981","2919","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1982","2624","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1983","2848","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1984","2963","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1985","2934","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1986","2952","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1987","3072","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1988","3086","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1989","3009","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1990","3185.3999938965","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1991","3374.799987793","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1992","3594.1000061035","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1993","3920.3999938965","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1994","4092.6999969482","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1995","4470.9799938965","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1996","4709.4060058594","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1997","4928.3000097656","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1998","5580.4400134277","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","1999","5214.0325195312","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","2000","5738.110200335","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","2001","7000.7414290647","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","2002","8002.2411020786","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","2003","8232.7922596098","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","2004","8630.2900658182","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","2005","8974.9007590286","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","2006","9057.515298858","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","2007","9454.4398050359","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","2008","9540.4254007865","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","2009","9654.4620271188","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","2010","9884.5141916829","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","2011","10341.857908109","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","2012","10160.977631814","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","2013","10504.32961375","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","2014","10835.519353718","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","2015","11229.457627151","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","2016","11027.451175782","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","2017","11309.536639779","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","2018","11591.655649968","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","2019","12212.659443391","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","2020","10979.048724165","GWh"
"Consumo de electricidad","Industrial","","","Subregión","América Central","2021","12505.29191302","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1970","1558","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1971","1686","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1972","1963","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1973","2094","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1974","2274","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1975","2516","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1976","2785","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1977","3023","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1978","3253","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1979","3266","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1980","3158","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1981","3285","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1982","3512","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1983","3683","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1984","3849","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1985","4105","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1986","4455","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1987","4819","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1988","4204","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1989","4306","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1990","4602.8999938965","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1991","4851.1000061035","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1992","5171.6000061035","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1993","5589.700012207","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1994","5742.799987793","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1995","6173.7500061035","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1996","6484.6986999512","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1997","6856.0500097656","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1998","7512.4699951172","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","1999","7716.3905834961","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","2000","7679.7955839119","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","2001","8702.4571681393","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","2002","9359.9198752681","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","2003","9811.9119117872","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","2004","10251.995677629","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","2005","10684.93141553","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","2006","11266.285381187","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","2007","11803.367257799","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","2008","12504.062731101","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","2009","12713.202499676","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","2010","12657.458352736","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","2011","13088.906908642","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","2012","13836.817807963","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","2013","14210.074678601","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","2014","15516.172213248","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","2015","15945.702604283","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","2016","16304.660545606","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","2017","15837.221257829","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","2018","16239.780701393","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","2019","16836.434727423","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","2020","17463.76497265","GWh"
"Consumo de electricidad","Residencial","","","Subregión","América Central","2021","18390.813924457","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1970","570","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1971","636","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1972","722","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1973","742","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1974","837","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1975","900","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1976","1004","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1977","1107","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1978","1202","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1979","1252","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1980","1730","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1981","1805","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1982","1891","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1983","2034","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1984","2071","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1985","2185","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1986","2295","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1987","2566","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1988","3252","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1989","3488","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1990","3620","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1991","3790.1000061035","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1992","4119.3999938965","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1993","4459.799987793","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1994","4707","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1995","5033.749987793","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1996","5185.7467932129","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1997","5778.3900097656","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1998","5981.4000048828","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","1999","7727.9032666016","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","2000","7077.0895060539","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","2001","7831.9128011122","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","2002","7908.9032335769","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","2003","8434.2145369517","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","2004","9087.5045002671","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","2005","9425.8034432213","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","2006","9938.8917297214","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","2007","10923.816295022","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","2008","11049.774202641","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","2009","11105.13550976","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","2010","11976.414072784","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","2011","12400.138918076","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","2012","13808.989188977","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","2013","14121.932179135","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","2014","15541.759996278","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","2015","16735.501071465","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","2016","17632.955668906","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","2017","17423.942417158","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","2018","17912.70036993","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","2019","18426.01282933","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","2020","17087.771719367","GWh"
"Consumo de electricidad","Comercial, servicios, público","","","Subregión","América Central","2021","18590.19763739","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1970","56","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1971","56","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1972","64","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1973","61","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1974","72","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1975","79","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1976","90","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1977","97","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1978","84","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1979","73","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1980","87","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1981","116","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1982","149","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1983","174","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1984","167","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1985","177","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1986","182","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1987","184","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1988","194","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1989","277","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1990","302.19999694824","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1991","310","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1992","327.09999847412","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1993","329.19999694824","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1994","315.80000305176","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1995","336.81","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1996","368.34289733887","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1997","419.16000274658","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1998","430.31999847412","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","1999","114.6612677002","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","2000","166.35681288648","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","2001","189.55338861084","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","2002","183.15094095147","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","2003","268.61925520794","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","2004","140.99700677189","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","2005","134.56576898841","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","2006","471.86125505008","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","2007","472.70900004613","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","2008","492.82139501021","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","2009","506.45520300002","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","2010","484.39199485667","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","2011","492.62283921076","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","2012","521.37939300618","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","2013","944.00398136393","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","2014","878.09197776209","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","2015","890.4781829777","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","2016","891.01573781136","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","2017","915.61061002403","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","2018","944.86344583902","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","2019","2161.6284233626","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","2020","2282.622607261","GWh"
"Consumo de electricidad","Agro, pesca y minería","","","Subregión","América Central","2021","2714.6778209726","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1970","18","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1971","20","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1972","23","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1973","26","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1974","27","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1975","33","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1976","34","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1977","37","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1978","44","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1979","46","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1980","43","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1981","70","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1982","73","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1983","74","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1984","79","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1985","82","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1986","82","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1987","86","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1988","","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1989","","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1990","","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1991","","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1992","","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1993","","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1994","","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1995","","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1996","","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1997","","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1998","2.0499999523163","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","1999","3.7623789310455","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","2000","13.674559883125","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","2001","46.056282119751","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","2002","78.029552241329","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","2003","98.132537628556","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","2004","75.97159265009","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","2005","77.836958253597","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","2006","122.92","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","2007","123.42","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","2008","127.9","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","2009","141.78582304864","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","2010","149.30280909519","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","2011","152.40610658075","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","2012","156.98945574546","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","2013","210.82885344251","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","2014","190.03433835247","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","2015","205.48768256738","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","2016","218.77841200776","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","2017","196.86377338152","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","2018","203.14768190473","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","2019","204.66715880753","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","2020","199.91703886096","GWh"
"Consumo de electricidad","Construcción y otros","","","Subregión","América Central","2021","257.214306519","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América del Sur","1970","1195.2293425679","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América del Sur","1971","1184.8380737305","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América del Sur","1972","1179.8399047852","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América del Sur","1973","3129.8428344727","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América del Sur","1974","1132.841003418","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América del Sur","1975","1113.1843474507","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América del Sur","1976","1168.8218994141","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América del Sur","1977","1164.8623876953","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América del Sur","1978","1157.823425293","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América del Sur","1979","1196.8085327148","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América del Sur","1980","1305.2898452961","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América del Sur","1981","1362.2100801849","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América del Sur","1982","1485.3387088776","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América del Sur","1983","1647.1230220795","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América del Sur","1984","1733.3491061115","GWh"
"Consumo de electricidad","Transporte","","","Subregión","América del Sur","1985","1764.2542704129","GWh"
